Player,Ht,Wt,Pos,GP,MP,RY,LY,EXP,PTS,ORB,DRB,TRB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,TOV,PF,HOF
Jordan Adams,196,94,SG,32,263,2015,2016,2,101,9,21,30,19,19,7,27,66,10,26,17,28,16,26,0
Jonas Valanciunas,213,120,C,363,9483,2013,2017,5,4160,972,2113,3085,240,136,387,1629,2928,1,4,899,1151,530,1033,0
Jon Brockman,201,115,PF,150,1570,2010,2012,3,320,212,260,472,49,33,9,118,241,0,1,84,136,57,267,0
Johnny O'Bryant,206,116,PF,122,1385,2015,2017,3,376,109,169,278,61,23,14,153,376,7,13,49,79,68,164,0
Bernard James,208,108,C,92,761,2013,2015,3,203,85,127,212,13,17,61,76,150,0,3,51,75,34,105,0
John Wall,193,88,PG,500,18031,2011,2017,7,9419,292,1925,2217,4610,870,322,2991,6561,426,1327,2159,2728,1913,1138,0
Ben Uzoh,190,92,PG,78,1178,2011,2012,2,320,68,127,195,191,47,14,128,332,3,10,55,94,63,91,0
John Celestand,193,80,PG,16,185,2000,2000,1,37,1,10,11,20,7,0,13,36,2,9,5,6,16,22,0
A.J. Guyton,208,99,PG,80,1246,2001,2003,3,442,22,58,80,147,20,12,93,247,73,193,37,45,62,58,0
Ben Hansbrough,190,92,PG,28,200,2013,2013,1,57,2,16,18,21,7,2,9,22,6,23,21,27,18,23,0
Joey Graham,201,102,SF,377,6117,2006,2011,6,2239,272,786,1058,207,134,43,803,1596,54,180,471,578,309,804,0
Joel Bolomboy,206,106,PF,12,53,2017,2017,1,22,4,13,17,2,1,2,8,12,1,4,3,6,2,1,0
Adrian Griffin,196,98,SF,512,8304,2000,2008,9,1984,535,1036,1571,680,453,61,765,1690,50,180,304,401,352,906,0
Jerryd Bayless,190,90,PG,656,14086,2009,2017,9,5710,198,1205,1403,1961,427,79,1453,3326,541,1496,1181,1440,956,1369,0
Jerry Smith,188,86,PG,5,46,2012,2012,1,7,2,5,7,4,5,0,2,8,1,6,0,0,0,5,0
Jerrelle Benimon,203,111,PF,2,3,2015,2015,1,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0
Jerome Moiso,208,106,PF,165,1512,2001,2005,5,414,136,296,432,39,48,74,167,337,0,4,80,131,111,196,0
Jerome Jordan,213,114,C,65,491,2012,2015,4,180,66,66,132,17,9,21,67,127,0,0,46,54,24,73,0
Jermaine Taylor,193,79,SG,99,1269,2010,2011,2,574,73,97,170,80,38,13,200,399,33,112,75,102,111,93,0
Jerian Grant,203,95,PG,139,2293,2016,2017,2,796,40,214,254,297,97,18,211,458,71,234,161,196,131,190,0
Jeremy Pargo,188,99,SG,122,1734,2012,2013,2,656,28,107,135,239,41,4,188,464,60,186,100,151,146,138,0
Jeremy Evans,206,90,SF,249,2621,2011,2016,6,877,238,402,640,107,90,121,357,613,6,26,145,211,84,290,0
Jeffery Taylor,193,79,SF,132,2566,2013,2015,3,807,80,183,263,107,72,21,217,474,82,257,127,191,92,234,0
Jeff Trepagnier,193,90,SG,31,270,2002,2004,3,88,17,26,43,22,19,4,28,88,6,13,14,20,25,20,0
Axel Toupane,201,89,SF,29,399,2016,2017,2,98,8,25,33,15,9,8,20,40,15,48,13,17,6,52,0
Jeff Foster,211,107,C,764,15750,2000,2012,13,3747,2101,3147,5248,703,507,308,1465,2907,7,54,796,1295,613,1921,0
Avery Bradley,188,81,SG,413,11619,2011,2017,7,5008,275,989,1264,702,446,87,1505,3157,520,1421,438,567,565,885,0
JaVale McGee,213,122,C,577,10507,2009,2017,9,4663,1114,1908,3022,189,219,930,1981,3568,1,10,698,1242,583,1259,0
Jason Terry,188,83,SG,1359,41220,2000,2017,18,18715,497,2729,3226,5356,1560,262,4613,9536,2242,5895,2763,3269,2390,2525,0
Jason Richardson,198,99,SG,1009,34366,2002,2015,14,17105,1177,3718,4895,2577,1164,408,4569,9563,1926,5148,2189,3072,1693,2271,0
Jason Hart,190,83,PG,421,6505,2001,2010,10,1952,103,610,713,931,311,40,674,1555,71,238,391,490,338,654,0
Jarron Collins,193,88,C,570,8723,2002,2011,10,2114,659,944,1603,421,142,99,688,1516,0,5,738,1056,341,1345,0
Jarnell Stokes,206,119,C,35,169,2015,2017,3,74,19,25,44,8,8,5,28,48,0,0,18,34,7,30,0
Jarell Eddie,201,98,SF,31,209,2016,2017,2,87,3,27,30,5,6,1,7,21,19,63,16,17,2,6,0
Jared Jeffries,211,104,PF,741,15974,2003,2013,11,3449,1358,1609,2967,935,528,411,1235,2756,96,372,691,1185,771,1807,0
Jannero Pargo,185,79,PG,562,8435,2003,2015,13,3589,130,643,773,1123,281,37,926,2249,461,1302,354,409,648,740,0
JaMychal Green,206,102,PF,203,3875,2015,2017,3,1391,344,663,1007,159,102,77,464,887,70,202,253,324,205,487,0
James Young,198,97,SG,89,751,2015,2017,3,202,19,75,94,26,24,5,37,69,35,127,23,42,14,54,0
James White,206,131,SF,67,583,2007,2013,7,182,8,60,68,35,17,6,54,112,17,50,23,34,25,53,0
James Singleton,203,97,PF,300,4229,2006,2012,7,1208,429,757,1186,140,125,160,417,880,42,157,248,296,189,503,0
James Lang,208,129,C,11,55,2007,2007,1,11,5,6,11,2,0,3,4,9,0,0,3,5,2,14,0
Arvydas Macijauskas,193,97,SG,19,135,2006,2006,1,44,3,7,10,5,7,0,11,29,3,12,13,15,8,10,0
James Augustine,208,106,PF,27,156,2007,2008,2,42,17,16,33,4,5,2,19,37,0,0,4,8,6,20,0
Jameer Nelson,183,86,PG,891,24933,2005,2017,13,10216,446,2191,2637,4582,791,70,2699,5684,1201,3268,1215,1507,1874,2250,0
Jamal Robinson,198,95,SF,6,72,2001,2001,1,6,3,8,11,2,6,0,3,20,0,2,0,0,3,7,0
Jamal Crawford,196,90,SG,1247,38603,2001,2017,17,19364,460,2497,2957,4411,1161,263,4496,10049,2191,6255,3799,4407,2430,1939,0
Jamaal Magloire,211,117,C,711,14907,2001,2012,12,4973,1437,3060,4497,393,225,613,1781,3723,0,7,1411,2220,1028,1842,0
Jakob Poeltl,213,112,C,54,626,2017,2017,1,165,78,87,165,12,17,20,67,115,0,0,31,57,29,113,0
Jake Layman,206,95,SF,35,249,2017,2017,1,78,6,18,24,11,9,3,13,38,13,51,13,17,11,22,0
JaKarr Sampson,211,106,SF,220,3451,2015,2016,2,1134,127,416,543,169,84,92,367,727,59,253,223,338,216,419,0
Art Long,206,113,SF,124,1431,2001,2003,3,405,151,228,379,54,32,53,172,392,4,6,49,107,105,255,0
Jack Cooley,206,117,PF,16,87,2015,2015,1,27,10,15,25,1,6,3,9,22,0,0,9,21,3,23,0
Jabari Smith,211,113,PF,131,1244,2001,2005,5,402,57,149,206,77,43,32,150,355,1,11,99,145,59,197,0
J.R. Smith,188,86,SG,950,25810,2005,2017,13,12242,495,2538,3033,2107,976,212,2484,5351,1937,5173,1463,1994,1316,2169,0
J.R. Giddens,216,115,SF,70,486,2009,2010,2,142,34,71,105,26,19,4,58,103,0,20,26,46,35,59,0
J.J. O'Brien,185,81,SF,2,6,2016,2016,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
Ivan McFarlin,203,108,PF,11,41,2007,2007,1,15,7,4,11,1,0,0,5,12,0,1,5,7,1,8,0
Ish Smith,183,79,PG,657,11487,2011,2017,7,4231,220,1240,1460,2375,466,132,1583,3728,205,680,450,683,851,715,0
Isaiah Thomas,185,81,PG,508,14940,2012,2017,6,9538,279,1014,1293,2562,488,51,2066,4241,995,2707,2421,2768,1174,1107,0
Isaac Fontaine,193,95,SG,6,75,2002,2002,1,11,0,5,5,4,0,0,2,9,1,5,4,6,4,6,0
Aron Baynes,208,117,C,295,4150,2013,2017,5,1544,429,783,1212,157,57,124,610,1182,1,7,321,396,229,579,0
Ira Newble,201,99,SF,429,8343,2001,2008,8,2118,450,789,1239,360,232,113,757,1629,101,298,301,387,323,764,0
Iman Shumpert,196,99,SG,432,11006,2012,2017,6,3233,335,1165,1500,839,514,106,761,1718,446,1311,373,496,544,1026,0
Igor Rakocevic,190,83,PG,42,244,2003,2003,1,78,4,13,17,33,4,0,17,46,5,12,29,36,23,25,0
Hollis Thompson,203,93,SG,305,7176,2014,2017,4,2255,218,721,939,327,186,74,424,959,395,1036,222,316,224,610,0
Hilton Armstrong,211,106,C,378,4201,2007,2014,8,1043,361,617,978,137,123,175,408,836,4,12,215,381,280,687,0
Armon Johnson,196,107,PG,56,525,2011,2012,2,204,13,49,62,67,15,1,79,169,7,18,25,34,50,49,0
Henry Walker,196,83,SF,216,3784,2009,2015,7,1408,70,419,489,193,116,30,266,466,240,631,156,203,170,458,0
Hassan Adams,193,99,SG,73,547,2007,2009,3,185,36,48,84,14,18,5,79,147,0,1,27,42,26,51,0
Harold Jamison,203,117,PF,37,250,2000,2002,3,72,40,20,60,10,7,2,29,63,0,0,14,33,10,40,0
Hamady N'Diaye,213,106,C,33,157,2011,2014,4,20,7,18,25,3,2,9,7,15,0,0,6,13,6,33,0
Ha Seung-Jin,221,138,C,46,316,2005,2006,2,70,20,47,67,3,4,13,28,54,0,0,14,28,26,62,0
Guy Rucker,211,120,PF,3,4,2003,2003,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Gustavo Ayon,208,113,C,190,2985,2012,2014,3,839,248,540,788,244,122,90,376,696,0,1,87,183,169,379,0
Guillermo Diaz,188,87,SG,6,18,2008,2008,1,5,2,0,2,1,0,0,1,3,0,1,3,5,0,0,0
Greg Monroe,211,120,C,538,15955,2011,2017,7,7572,1593,3114,4707,1216,614,332,3029,5912,0,12,1514,2147,1060,1250,0
Gorgui Dieng,211,109,PF,297,7884,2014,2017,4,2639,671,1470,2141,486,283,367,988,1909,24,70,591,752,427,769,0
Goran Dragic,190,86,PG,795,21741,2009,2017,9,10429,602,1710,2312,3669,806,149,3034,5858,845,2341,1826,2432,1758,1831,0
Antoine Wright,201,95,SG,353,6946,2006,2011,6,1964,197,631,828,375,167,93,566,1208,187,620,271,401,277,725,0
Gerald Green,201,92,SF,574,10986,2006,2017,12,5393,287,1102,1389,560,286,161,1254,2738,711,1968,752,923,667,1060,0
Georges Niang,203,104,PF,23,93,2017,2017,1,21,2,15,17,5,3,0,8,24,1,12,2,2,5,6,0
Zendon Hamilton,211,113,C,146,1609,2001,2006,6,611,187,288,475,33,43,28,183,414,0,0,245,371,114,220,0
Zabian Dowdell,190,86,PG,24,292,2011,2011,1,121,5,15,20,51,20,2,48,115,3,10,16,17,29,30,0
Yi Jianlian,213,108,PF,272,6038,2008,2012,5,2148,379,960,1339,192,136,184,738,1787,75,225,447,573,302,618,0
Wilson Chandler,203,102,SF,588,18431,2008,2017,10,8315,680,2543,3223,1045,435,436,2428,4893,802,2355,1053,1362,863,1648,0
